,createdAt,tweetText,polarity,sentiment
8,2022-11-30 08:24:03+00:00,twitter stopped enforcing covid misinformation policies finally tell vaccine doesnt work,0.0,Neutral
19,2022-11-29 17:11:51+00:00,purpose covid vaccine depopulation,0.0,Neutral
23,2022-11-29 17:11:27+00:00,covid made design chinese lab vaccine doesnt work fact damage disease ca,0.0,Neutral
25,2022-11-29 17:11:17+00:00,updated covid vaccine help protect worst outcomes covid 2 months since last,-0.5,Negative
45,2022-11-29 17:09:28+00:00,got banned saying wont get covid vaccine,0.0,Neutral
61,2022-11-29 17:08:10+00:00,_txt wackadoodle cousin tried religious exemption crap covid vaccine catholic pope says duty protect weak get vaccinations stupid,-0.395,Negative
65,2022-11-29 17:07:58+00:00,covid19 vaccine scam,0.0,Neutral
74,2022-11-30 08:26:21+00:00,since twitter longer enforcing covid 19 disinformation bans finally tell truth moderna vaccine inc,0.0,Neutral
101,2022-11-29 16:42:54+00:00,judicial watch received 1081 pages records hhs detailing internal discussions myocarditis cov,0.0,Neutral
112,2022-11-29 16:42:09+00:00,covid 998 survival rate take anything prescribes especially useless vaccine,-1.0,Negative
191,2022-11-30 09:26:48+00:00,vaccine doesnt prevent covid doesnt stop transmission get covid could still fatalso,0.0,Neutral
229,2022-11-30 10:57:50+00:00,dont need vaccine fight covid part,0.0,Neutral
248,2022-11-30 10:59:35+00:00,reality check men women equal fat beautiful scientists paid lie vaccine n,0.425,Positive
270,2022-11-30 11:03:38+00:00,legitimate bio weapons,0.0,Neutral
281,2022-11-30 11:04:17+00:00,hospitals full quadruple vaccinated abc never report nsw govts data shows tha,0.35,Positive
32,2022-11-29 17:10:31+00:00,honest question antivaxxers covid vaccine protesting also opposed vaccine,0.6,Positive
46,2022-11-29 17:09:25+00:00,_juvenal updated february 14 2022 pfizerbiontech moderna covid19 vaccines received full approval food drug administration fda,0.35,Positive
221,2022-11-30 10:58:03+00:00,sure like trumps vaccine tho killing people ineffective weak covid,0.0625,Positive
51,2022-11-29 17:08:56+00:00,might interested data official numbers erie county ny idiot county executive didnt get memo rest dems got burying inconvenient vaccine failure figures 94 covid deaths fully vaccinated,-0.36666666666666664,Negative
138,2022-11-29 16:40:09+00:00,thanks sharing story hope one day soon able put behind however vaxxfree never get another vaccine life made fool covid fiasco lied,0.09999999999999998,Positive
227,2022-11-30 10:57:54+00:00,fired hospital job receiving covid19 vaccine religious reasons suing former employ,0.0,Neutral
249,2022-11-30 10:59:33+00:00,funds ftx following organizations would like thank support 1 democrats 2 f,0.0,Neutral
35,2022-11-29 17:10:27+00:00,colleagues especially spent countless hours poring covid death records,-0.1,Negative
125,2022-11-29 16:41:26+00:00,vosd intern turned fulltime education reporter also rocking beat internship produced stellar story local church become central hub local conservative organizing,0.0625,Positive
126,2022-11-29 16:41:23+00:00,colleagues especially spent countless hours poring covid death records reveal important takeaways literally went court could tell stories,0.06666666666666667,Positive
156,2022-11-30 08:29:36+00:00,va isnt done working magic lets see die covid reason covid deaths states die within 14 days poke never considered vaccine death deserve questioned,0.5,Positive
12,2022-11-30 08:23:49+00:00,adb world bank demanded special audit loans granted philippine government,0.35714285714285715,Positive
56,2022-11-29 17:08:38+00:00,see lower vaccine uptake across board government public health leaders broken trust public trying coerce millions taking covid vaccines entirely predictable outcome,-0.15000000000000002,Negative
115,2022-11-29 16:42:01+00:00,2022 still dont understand covid vaccine works willful ignorance point,0.0,Neutral
116,2022-11-29 16:41:59+00:00,_pop _paulangel good thing youre arguing smart person still shot believe vaccine cause covid test,0.45714285714285713,Positive
163,2022-11-30 08:32:33+00:00,going tell story tell entire story brad also protesting tr,0.0,Neutral
258,2022-11-30 11:01:40+00:00,covid vaccine effectiveness countdown sound,0.4,Positive
280,2022-11-30 11:04:17+00:00,dont miss latest executive insights episode association _ireland covid19 vaccine rollout changed goals future,0.25,Positive
135,2022-11-29 16:40:21+00:00,love yellowstone county covid death recognized individually 50 years age make sure,0.3333333333333333,Positive
127,2022-11-29 16:41:13+00:00,feb 2021 priority groupsfrontline workers look age group graph 1544yo,0.0,Neutral
119,2022-11-29 16:41:47+00:00,guinea pigs experimental covid vaccine long term safety testing made mandatory,0.025,Positive
124,2022-11-29 16:41:26+00:00,dangerous side effects including myocarditis pericarditis listed covid19 vaccine consent form,-0.6,Negative
108,2022-11-29 16:42:25+00:00,moron mandate experimental covid shots children pharm companies exempt litigation harm caused vaccine reason want mandate know screwed want cover asses,-0.35000000000000003,Negative
41,2022-11-29 17:10:02+00:00,17 months iv g infusions covid vaccine damage short long nerves body attacking,-0.025,Negative
173,2022-11-30 08:38:26+00:00,awkward biden support covid protestors china theres nothing happening china right,-0.15714285714285714,Negative
147,2022-11-29 16:39:31+00:00,baker administration still divulge people working state government losing,0.0,Neutral
94,2022-11-29 16:43:10+00:00,theres covid19 vaccine clinic open daily agrec centre eligible book appointment head,0.0,Neutral
98,2022-11-29 16:43:02+00:00,theres covid19 vaccine clinic open today ages health care centre youre eligible book,0.0,Neutral
104,2022-11-29 16:42:33+00:00,alcohol covid vaccine two drugs people demand explanation abstinence,0.0,Neutral
136,2022-11-29 16:40:21+00:00,behalf er amp health care providers vaccine researchers public health workers epidemiologists health reporters people gotten sick lost loved ones covid aaaaaaaaaaaahhhhhhhhhhhh reckless dangerous monster,-0.15357142857142858,Negative
243,2022-11-30 10:59:49+00:00,pulled enormous marketing budget pulled covidmisinformation community guidelines,0.0,Neutral
48,2022-11-29 17:09:10+00:00,covid bioweapon mainly targets elderly immune compromised individuals chances almost kids,0.16666666666666666,Positive
62,2022-11-29 17:08:02+00:00,tis season get updated covid19 vaccine holidays vaccine clinics throughout las vegas valley,0.0,Neutral
3,2022-11-30 08:24:13+00:00,_guy suppose politicians died covid vaccine,0.0,Neutral
97,2022-11-29 16:43:06+00:00,impose restrictions international travel tcoljl7doyou8,0.0,Neutral
231,2022-11-30 10:59:02+00:00,covid19 flu spread quickly winter cause serious illness youre aged 50 risk group,-0.03333333333333333,Negative
210,2022-11-30 10:53:39+00:00,naturopath sold fake vaccine cards sentenced nearly 3 years prison,-0.2,Negative
263,2022-11-30 11:02:56+00:00,huge demand lecture thousand attended live big pharma hijacked evidence based medicin,0.1787878787878788,Positive
171,2022-11-30 08:33:02+00:00,covid vaccine adverse effects blood clots strokes heart attacks etc caused fear mongering scare tactics us,0.0,Neutral
201,2022-11-30 09:28:34+00:00,pandemic quadruple vaccinated soldout media never report nsw governments data shows,0.0,Neutral
282,2022-11-30 11:04:16+00:00,twitter ended covid misinformation policies remind proved back april 2020 vaccine,0.0,Neutral
1,2022-11-29 20:22:41+00:00,twitter stopped enforcing covid misinformation policies finally tell vaccine doesnt work masks useless amp lockdowns harm good thank coming ted talk,0.06666666666666665,Positive
50,2022-11-29 17:09:00+00:00,adverse side effects due stress caused antivaxxers according study published,-0.125,Negative
0,2022-11-29 17:12:05+00:00,vaccine doesnt prevent covid doesnt stop transmission get covid could still fatalso point vaccine,0.0,Neutral
95,2022-11-29 16:43:10+00:00,reason millions people ran get jab jab jab repeatedly lied effecti,0.0,Neutral
131,2022-11-29 16:40:45+00:00,behalf er amp health care providers vaccine researchers public health workers epidemiologists healt,0.0,Neutral
132,2022-11-29 16:40:42+00:00,todays vaccine clinic cancelled due inclement weather amp staffing issues hosting additional co,-0.125,Negative
